SEQ,BANK NAME,CUST_ID,TITLE,NAME,SURNAME,LOAN PRODUCT,ACCT_NO,CREDIT LIMIT,INT RATE,BALANCE,E_MAIL,MOBILE,ADDRESS,POST_CODE
10474,BANK,2067330,นาย,ศุภนิดา,เมยประโคน,Housing Loan,4.62015E+11,8250000,5.431,2551875.31,mantana@yahooo.con,086-969-7726,163/1 หมู่ที่ 4 ถนนศรีสุนทร ตำบลศรีสุนทร อำเภอถลาง จังหวัดภูเก็ต 83000,83000
10746,BANK,2067835,มรว.,ชินาภรณ์,เพ็ชรเยียน,Personal Loan,4.72015E+11,750000,5.713,428564.29,paweena@jahun.com,085-618-1998,การสื่อสารแห่งประเทศไทย ตึก2 กองการเงินและผลประโยชน์ ชั้น3 ถ.แจ้งวัฒนะ เขตหลักสี่ กรุงเทพฯ 10210,10210
11884,BANK,2069815,นาย,กัญญานัฐ,แจ้งสูงเนิน,Housing Loan,4.52016E+11,2990000,6.968,1423564.16,adthakron@usaonline.org,082-217-9284,โรงเรียนอนุบาลเคหะบ้านใหม่ 1614/1521 หมู่ที่ 10 ถ.สุขุมวิท กม.30 ต.ท้ายบ้าน อ.เมือง จ.นครปฐม 10270,10270
14535,BANK,2074509,น.ส.,จุฬาพิชญ์,แหลมกา,Housing Loan,4.22016E+11,5770000,8.085,3231965.75,duangkamol@seveneleven.net,081-662-2400,696/19 ซ.เจริญสุข แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,10110
15776,BANK,2076769,พ.ญ.,พรรณี,เพื่อนงาม,Housing Loan,4.22016E+11,7440000,6.856,6222812.37,somchok@seveneleven.net,088-967-6422,4/1109 หมู่ 4 หมู่บ้านสหกรณ์ ซอย 55 ถนนสุขาภิบาล 2 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ 10240,10240
17126,BANK,2079286,พ.ญ.,ชนกพร,แสวงดี,Housing Loan,4.12016E+11,7310000,8.986,5982670.58,sawong@jahun.com,081-386-2529,เลขที่ 52/1 หมู่ที่ 6 ต.สวนป่าน อ.เมืองนครปฐม จ.นครปฐม 73000,73000
17327,BANK,2079637,นาง,ภัทรา,พร้อมเพรียง,Housing Loan,4.32016E+11,8250000,3.236,263195.21,nipatta@hotmaee.com,086-748-9549,เลขที่ 53 หมู่ที่ 3 ต.กุดดู่ อ.โนนสัง จ.หนองบัวลำภู 39140,39140
19714,BANK,2083828,ด.ช.,ณิชารัตน์,พละวงศ์,Housing Loan,3.92016E+11,2910000,0.136,1274274.68,patcharin@usaonline.org,085-618-4631,บจก.สวีเดน มอเตอร์ 1527 ถ.สุขุมวิท 71 คลองตัน คลองเตย กทม. 10110,10110
20888,BANK,2085836,พ.ญ.,ธนกร,คหาปนะ,Housing Loan,2.42016E+11,1350000,8.355,497818.22,theeravath@seveneleven.net,085-890-4352,37/1 ม.1 ต.บางเลา กิ่งอ.คลองเขื่อน จ.ฉะ เชิงเทรา 24000,24000
24995,BANK,2093005,นาย,เพ็ญพิชชา,ปิ่นเมฆ,Housing Loan,2.12016E+11,4270000,7.025,81857.47,chaowanee@mcdonald.com,083-741-4368,เลขที่ 11 หมู่ที่ 3 ต.ธาตุน้อย อ.เขื่องใน จ.อุบลราชธานี 34150,34150
